Status,Type,City,Area,Name,EPCode,HJ212MN,ADCode,USCCode,NEICode,NEIName,Industry,Corporate,Address,Latitude,Longitude,Remark
1,10,常州市,溧阳市,溧阳水务集团有限公司第二污水处理厂,320481000082,320481000082888888889101,320481100000,91320481550268845G,国民经济行业编码,污水处理及其再生利用,污水处理,潘震飞,溧城镇正昌路166号,119.476834,31.449200,溧阳水务集团有限公司第二污水处理厂，总规模为9.8万吨/天，分两期建设，一期设计规模为5万吨/日，投资为1.31091亿元，2013年10月，公司投资1.7亿元在污水厂北侧开始建设扩建二期项目，设计规模为日处理污水48万吨。本厂采用改良AAO工艺，排放标准为国家一级A排放。
1,30,常州市,新北区,国电常州发电有限公司,320400001010,320400001010888888889201,320411100000,913204007520003022,国民经济行业编码,火力发电,电力,张苏闽,常州市新北区春江镇江花路,119.989327,31.956556,国电常州发电有限公司采用石灰石/石膏脱硫和SCR尿素脱硝设施，采用电除尘设备，机组采用DCS系统控制，自动化程度高。公司现装机容量为2×630MW机组，2006年正式投产发电，2019年发电量达58.9亿千瓦时。
1,20,常州市,武进区,光大环保能源（常州）有限公司,3204120200017595,320412020001759588889301,320412,91320412791967866P,国民经济行业编码,生物质能发电,电力,蔡曙光,武进区遥观镇剑湖村委观庄村208号,120.051246,31.721758,成立于2011年5月，一期项目总投资13350万元，占地面积3.32公顷（49.92亩），二期扩建项目总投资12000万元，规划占地面积为42.17亩。采用“半干反应塔+活性炭、石灰干粉+布袋除尘器+SCR+湿式脱酸”的烟气处理工艺。焚烧处理城市生活垃圾，销售所产生的电力、沼气、蒸汽、热水；研究开发垃圾处理技术，提供相关技术咨询和技术服务。
1,20,常州市,新北区,光大高新环保新能源（常州）有限公司,3204110200006191,320407400000806888889301,,,,生物质能发电,电力,,江苏常州滨江经济开发区港区南路10号,,,光大高新环保能源（常州）有限公司坐落在常州市新北区春江镇，是以处理城市生活垃圾、改善城市环境为目的的环保项目，采用BOT模式，建设运营期为30年，项目总规模为日处理生活垃圾1500吨，占地面积82.6亩，分两期建设，一期建设规模为日处理生活垃圾800吨，年处理生活垃圾29.5万吨；二期再扩建700吨/日。
1,10,常州市,新北区,常州市深水江边污水处理厂,320400010005,320407000102486888889101,,,,污水处理及其再生利用,,,常州市新北区长江北路1201号,119.985904,31.950996,深水常州江边污水处理厂，坐落于江苏常州市，设计处理能力为日处理污水20.00万立方米。深水常州江边污水处理厂自2005年1月正式投入运行以来，污水处理设备运转良好，日平均处理污水量为19.24 万立方米。该项目采用先进的污水处理设备，厂区主体工艺采用A2/O处理工艺。
0,10,苏州市,张家港市,张家港胜科水务,320582004968,320582004968888888889101,320582,913205927780305697,D4620,污水处理及其再生利用,污水处理,陈剑钢,江苏省张家港保税区深圳路1号,120.462961,31.992394,
0,10,苏州市,常熟市,常熟市江南水务有限公司（周行污水处理厂）,3205810200027952,320581020002795288889501,320581,91320581691345592P,C15,酒、饮料及精制茶制造业,,顾洪良,常熟市海虞镇香桥村,120.824195,31.703178,
0,10,苏州市,相城区,苏州市相城水务发展有限公司城西污水处理厂,3205070200004345,320507020000434588889101,320507,913205077786868836,D4620,污水处理及其再生利用,污水处理,葛志兴,相城区黄桥街道永方路61号,120.340000,31.240000,
0,10,苏州市,高新区,苏州高新污水处理有限公司(第二污水厂),3205910200002406,320591020000240688889101,320505003000,91320505746235949J,D4620,污水处理及其再生利用,污水处理,贺明,苏州高新区枫桥新元街1号,120.574382,31.285786,
0,30,苏州市,太仓市,国华太仓发电有限公司,320585000377,320585000377888888889201,320585,9132058577051178XH,D4411,火力发电,电力,许定峰,江苏省太仓市港口开发区滨海路28号,121.252944,31.582252,国华太仓发电有限公司采用石灰石/石膏脱硫和SCR尿素脱硝设施，采用电除尘设备，机组采用DCS系统控制，自动化程度高。公司装机两台国产首批630MW超临界机组构成，分别于2005年和2006年投产发电。2019年发电量达70.83亿千瓦时。
0,20,苏州市,吴中区,光大环保能源（苏州）有限公司,3205000201119683,320500020111968388889301,320500,91320500754632629H,O8190,,,胡延国,江苏省苏州市吴中区木渎镇七子村南侧,120.324725,31.144248,光大环保能源（苏州）有限公司日处理规模为3550吨，年焚烧生活垃圾150万吨，上网电量4亿度，采用先进的焚烧炉排、烟气净化自动化控制，均有光大自主研发并生产。烟气净化系统采用“SNCR脱硝+（半干法+干法）脱酸+活性炭喷射+布袋除尘器”的先进烟气处理工艺。
0,10,南通市,如东县,如东深水环境科技有限公司,320623000096,320623000096888888889101,320623,91320623MA1MXEY46F,D4620,污水处理及其再生利用,污水处理,王兴贵,江苏如东洋口化工园区黄海五路,121.050786,32.547204,如东深水环境科技有限公司（以下简称“如东深水”）由江苏省如东沿海经济开发区管理委员会与深圳市水务集团（以下简称“深水集团”）联合出资成立，主要接纳处理洋口经济开发区内的企业废水。如东深水目前合计投资2.45亿元负责建设运营园区污水处理厂二期及二期提标工程（2万吨/天），由江苏省环科院环境科技有限公司设计，尾水排放达到《城镇污水处理厂污染物排放标准》（GB18918-2002）一级A标准。
0,10,南通市,如皋市,如皋市富港水处理有限公司,320682000087,320682000087888888889101,320682,913206827820832682,D4620,污水处理及其再生利用,污水处理,邹建斌,如皋港经济开发区,120.581839,32.073688,
0,10,南通市,崇川区,南通市经济技术开发区通盛排水有限公司,320600000033,320600000033888888889101,320671,91320691765868012P,D4620,污水处理及其再生利用,污水处理,熊烈,南通市经济技术开发区港口工业三区江河路28号,120.945803,31.838349,
0,10,南通市,海门市,中信环境水务（海门）有限公司,320684000125,320684000125888888889101,320684,91320684322248906T,D4620,污水处理及其再生利用,污水处理,黄成,海门市灵甸港,121.420195,31.847587,中信环境水务（海门）有限公司于2015年6月开始新建，注册资金1500万美元，总投资2500万美元，设计日处理能力2 万吨，项目地址位于原灵甸污水厂两侧，占地约32000平方米， 污水厂于2016年10月竣工验收， 2017年1月正式投入使用。项目为园区配套设施，接纳处理园区内医药、染料、农药、酒精制木薯废水以及区外印染企业的废水，2019年开始还将接纳临江新区及周边三个乡镇的生活废水，其中设计规模为化工废水8000吨/天，印染废水7000吨/天，生活废水5000吨/天
